# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x0df80500> [8] 86 ff 00 ff ff ff ff ff 
<0x1defff00> [8] a0 3e e5 98 17 00 04 04 
<0x1defff00> [8] a1 a6 a1 70 42 0f 70 d6 
<0x1defff00> [8] a2 42 8c e2 f5 42 8c e2 
<0x1defff00> [8] a3 f5 42 8c e2 f5 42 0a 
<0x1defff00> [8] a4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] a5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] a6 3d c5 7f b7 3f 28 67 
<0x1defff00> [8] a7 f8 3f 3c 6a 1a 40 00 
<0x1defff00> [8] a8 00 80 3f ba 06 b4 3e 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80200> [8] 16 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80200> [8] 17 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x15fd0723> [8] 0e c0 15 6d ff 7f ff ff 
<0x09f80200> [8] 18 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x09f80200> [8] 19 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] a3 7e 54 19 48 34 55 d5 
<0x0df01000> [8] 1a f0 95 3d 50 90 c8 29 
<0x19fa0300> [8] 1a d3 72 00 bd 00 64 00 
<0x19fa0400> [8] a0 93 1a fd 0c 33 50 2c 
<0x19fa0400> [8] a1 5b 3d 9c ff 45 00 00 
<0x19fa0400> [8] a2 00 f0 0e 5c 2e e4 dc 
<0x19fa0400> [8] a3 c6 0f f4 ff ff ff f2 
<0x19fa0400> [8] a4 12 50 1d f2 66 58 0f 
<0x19fa0400> [8] a5 13 00 00 00 f2 19 96 
<0x19fa0400> [8] a6 1a f2 57 55 0f e6 ff 
<0x19fa0400> [8] a7 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] a8 9a 50 0f f8 ff ff ff 
<0x19fa0400> [8] a9 f2 0c e8 19 e7 37 63 
<0x19fa0400> [8] aa 10 cb ff ff ff f2 01 
<0x19fa0400> [8] ab d1 06 36 dc 5a 0d 0f 
<0x19fa0400> [8] ac 00 00 00 f2 0b 22 06 
